OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos,Hora,año,maña,noch,tard,unknown_Hour,Mes
Turkish Airlines (THY),Türkiye,1,67,47,0,0,1,0,0,0,0,1,22,1983,0,1,0,0,1
Military - U.S. Air Force,United States,1,6,6,0,0,0,1,0,0,0,0,0,1983,0,0,0,1,2
Aeroleo Taxi Aereo,Brazil,1,11,11,1,0,0,0,0,0,0,0,0,1983,0,0,0,1,3
Bakhtar Afghan Airlines,Afghanistan,1,19,19,0,1,0,0,1,0,0,1,0,1983,0,0,0,1,3
Avensa,Venezuela,1,50,23,0,1,0,0,0,0,1,1,7,1983,1,0,0,0,3
Central Airlines,United States,1,2,2,0,1,0,1,0,0,0,0,5,1983,1,0,0,0,3
Munz Northern Airlines,United States,1,3,2,0,0,0,0,0,0,0,1,14,1983,0,0,1,0,4
Air Liberia,Sudan,1,9,8,0,0,1,1,0,0,1,0,0,1983,0,0,0,1,4
Aeroflot,Russia,1,21,21,0,1,1,1,0,0,0,0,18,1983,0,0,1,0,4
Japan Air Self-Defence Force,Japan,1,14,14,0,1,0,0,0,0,0,1,7,1983,1,0,0,0,4
Military - Japan Maritime Self Defense Force,Japan,1,14,11,1,0,0,0,0,0,0,0,17,1983,0,0,1,0,4
SAN Ecuador,Ecuador,1,100,8,0,1,0,1,0,0,1,0,15,1983,0,0,1,0,4
Military - United States Navy,United States,1,15,15,0,0,0,1,0,0,0,0,12,1983,0,0,1,0,4
Military - Royal Thai Air Force,Thailand,1,30,30,0,1,0,1,0,0,0,0,10,1983,1,0,0,0,5
